"Gene";"counts";"vlist"
"DACT1";1;"GoTerms"
"DAXX";1;"GoTerms"
"DCAF1";1;"GoTerms"
"DCP2";1;"GoTerms"
"DDX20";1;"GoTerms"
"DEK";1;"GoTerms"
"DFFB";1;"OMIM"
"DHX36";1;"GoTerms"
"Dim-5 (N. crassa)";1;"CellSignal"
"DIRAS3";1;"OMIM"
"Dlk";1;"CellSignal"
"DMAP1";3;"GoTerms,OMIM,Reaktom"
"DNA-PK";1;"CellSignal"
"DNAI3";1;"OMIM"
"DNAJC2";1;"GoTerms"
"DNAJC9";1;"GoTerms"
"DNMT1";1;"Reaktom"
"DNMT3A";1;"Reaktom"
"DNMT3B";1;"Reaktom"
"DNMT3L";1;"GoTerms"
"DNTTIP1";1;"GoTerms"
"Dot1";1;"CellSignal"
"DOT1L";2;"GoTerms,Reaktom"
"DPF2";1;"GoTerms"
"DPPA3";1;"GoTerms"
"DPY30";3;"GoTerms,OMIM,Reaktom"
"DR1";3;"GoTerms,OMIM,Reaktom"
"DRAP1";1;"GoTerms"
"DTL";1;"OMIM"
"DTX3L";1;"GoTerms"
"DYDC1";1;"GoTerms"
"DYDC2";1;"GoTerms"
"DYRK1A";1;"GoTerms"
"DYRK3";1;"OMIM"
"E2F6";2;"GoTerms,OMIM"
"ECD";1;"GoTerms"
"EED";2;"GoTerms,Reaktom"
"EEF1AKMT1";1;"GoTerms"
"EEF1AKMT2";1;"GoTerms"
"EEF1AKMT3";1;"GoTerms"
"EEF2KMT";1;"GoTerms"
"EGR1";1;"GoTerms"
"EHMT1";2;"GoTerms,Reaktom"
"EHMT2";2;"GoTerms,Reaktom"
"EID1";1;"GoTerms"
"ELL";1;"GoTerms"
"ELP2";1;"Reaktom"
"Elp3";1;"CellSignal"
"ELP3";2;"GoTerms,Reaktom"
"ELP4";1;"Reaktom"
"ELP5";1;"Reaktom"
"ELP6";1;"Reaktom"
"ENY2";2;"GoTerms,Reaktom"
"EP300";2;"GoTerms,Reaktom"
"EP400";2;"GoTerms,Reaktom"
"EPC1";2;"GoTerms,Reaktom"
"EPC2";2;"GoTerms,OMIM"
"EPHX1";1;"OMIM"
"EPOP";1;"GoTerms"
"ERI1";1;"GoTerms"
"Esa1";1;"CellSignal"
"EXOSC10";1;"GoTerms"
"EXOSC4";1;"GoTerms"
"EYA1";1;"GoTerms"
"EYA2";1;"GoTerms"
"EYA3";1;"GoTerms"
"EZH1";1;"GoTerms"
"Ezh2";1;"CellSignal"
"EZH2";2;"GoTerms,Reaktom"
"EZHIP";1;"GoTerms"
"FAAP20";1;"OMIM"
"FAM156A";1;"GoTerms"
"FBL";1;"GoTerms"
"FBLL1";1;"GoTerms"
"FBXL19";1;"GoTerms"
"FMR1";1;"GoTerms"
"FOXP3";1;"GoTerms"
"G9a";1;"CellSignal"
"GATAD2A";2;"GoTerms,Reaktom"
"GATAD2B";2;"GoTerms,Reaktom"
"GCM1";1;"GoTerms"
"Gcn15";1;"CellSignal"
"Gcn5";1;"CellSignal"
"GLI3";1;"GoTerms"
"GLYR1";1;"GoTerms"
"GMNN";1;"GoTerms"
"GPS2";1;"Reaktom"
"GRWD1";1;"GoTerms"
"Gsg2";1;"CellSignal"
"GTF2B";1;"GoTerms"
"GTF3C4";1;"GoTerms"
"H1-0";1;"GoTerms"
"H1-1";1;"GoTerms"
"H1-10";1;"GoTerms"
"H1-2";1;"GoTerms"
"H1-3";1;"GoTerms"
"H1-4";1;"GoTerms"
"H1-5";1;"GoTerms"
"H1-6";1;"GoTerms"
"H1-7";1;"GoTerms"
"H1-8";1;"GoTerms"
"H1-9P";1;"GoTerms"
"H2AB1";2;"GoTerms,Reaktom"
"H2AB2";1;"GoTerms"
"H2AC1";2;"GoTerms,Reaktom"
"H2AC11";2;"GoTerms,Reaktom"
"H2AC12";2;"GoTerms,Reaktom"
"H2AC14";2;"GoTerms,Reaktom"
"H2AC18";3;"GoTerms,OMIM,Reaktom"
"H2AC20";3;"GoTerms,OMIM,Reaktom"
"H2AC21";3;"GoTerms,OMIM,Reaktom"
"H2AC25";3;"GoTerms,OMIM,Reaktom"
"H2AC4";2;"GoTerms,Reaktom"
"H2AC6";2;"GoTerms,Reaktom"
"H2AC7";2;"GoTerms,Reaktom"
"H2AFX";1;"Reaktom"
"H2AJ";2;"GoTerms,Reaktom"
"H2AL1Q";1;"GoTerms"
"H2AL3";1;"GoTerms"
"H2AP";1;"GoTerms"
"H2AX";1;"GoTerms"
"H2AZ1";1;"GoTerms"
"H2AZ2";2;"GoTerms,Reaktom"
"H2BC1";2;"GoTerms,Reaktom"
"H2BC10";1;"GoTerms"
"H2BC11";2;"GoTerms,Reaktom"
"H2BC12";2;"GoTerms,Reaktom"
"H2BC12L";2;"GoTerms,Reaktom"
"H2BC13";2;"GoTerms,Reaktom"
"H2BC14";2;"GoTerms,Reaktom"
"H2BC15";2;"GoTerms,Reaktom"
"H2BC17";2;"GoTerms,Reaktom"
"H2BC18";2;"GoTerms,Reaktom"
"H2BC19P";1;"GoTerms"
"H2BC20P";1;"GoTerms"
"H2BC21";3;"GoTerms,OMIM,Reaktom"
"H2BC26";3;"GoTerms,OMIM,Reaktom"
"H2BC3";2;"GoTerms,Reaktom"
"H2BC4";1;"Reaktom"
"H2BC5";2;"GoTerms,Reaktom"
"H2BC9";2;"GoTerms,Reaktom"
"H2BK1";1;"GoTerms"
"H2BN1";1;"GoTerms"
"H2BW1";1;"GoTerms"
"H2BW2";1;"GoTerms"
"H3-3A";2;"GoTerms,Reaktom"
"H3-4";2;"GoTerms,OMIM"
"H3-5";1;"GoTerms"
"H3-7";1;"GoTerms"
"H3C1";1;"GoTerms"
"H3C13";1;"GoTerms"
"H3C14";1;"OMIM"
"H3C15";1;"Reaktom"
"H3Y1";1;"GoTerms"
"H3Y2";1;"GoTerms"
"H4C1";2;"GoTerms,Reaktom"
"H4C14";1;"OMIM"
"H4C7";1;"GoTerms"
"Haspin";1;"CellSignal"
"HASPIN";1;"GoTerms"
"Hat1";1;"CellSignal"
"HAT1";3;"GoTerms,OMIM,Reaktom"
"Hat2";1;"CellSignal"
"HCFC1";2;"GoTerms,Reaktom"
"HCFC2";2;"GoTerms,Reaktom"
"HDAC1";3;"GoTerms,OMIM,Reaktom"
"HDAC10";2;"GoTerms,Reaktom"
"HDAC11";2;"GoTerms,OMIM"
"HDAC2";2;"GoTerms,Reaktom"
"HDAC3";2;"GoTerms,Reaktom"
"HDAC4";1;"GoTerms"
"HDAC5";1;"GoTerms"
"HDAC6";1;"GoTerms"
"HDAC7";1;"GoTerms"
"HDAC8";2;"GoTerms,Reaktom"
"HDAC9";1;"GoTerms"
"HDGFL2";1;"GoTerms"
"HES1";1;"GoTerms"
"HEY2";1;"GoTerms"
"HIC1";1;"GoTerms"
"HIF1A";1;"GoTerms"
"HINFP";1;"GoTerms"
